qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
6.29,-0.43877336
6.2999997,-0.37850976
6.31,-0.33886108
6.32,-0.32126972
6.3300004,-0.32664424
6.34,-0.35531476
6.35,-0.40698507
6.36,-0.48074603
6.3700004,-0.5750247
6.38,-0.68761015
6.3900003,-0.81571776
6.4,-0.95602286
6.4100003,-1.1048112
6.42,-1.2580698
6.4300003,-1.4116997
6.44,-1.5616401
6.4500003,-1.7041045
6.46,-1.8357103
6.4700003,-1.9536732
6.48,-2.0559263
6.4900002,-2.141195
6.4999995,-2.2090516
6.51,-2.259927
6.52,-2.2950032
6.53,-2.3161445
6.54,-2.3257062
6.55,-2.326373
6.56,-2.3209386
6.57,-2.3120797
6.58,-2.3021574
6.59,-2.293037
6.6,-2.285936
6.6100006,-2.2813168
6.62,-2.278851
6.63,-2.2774272
6.64,-2.2752306
6.65,-2.2698596
6.66,-2.2584999
6.67,-2.2381349
6.68,-2.205762
6.69,-2.158623
6.7,-2.0944352
6.71,-2.011569
6.72,-1.9092079
6.73,-1.7874607
6.74,-1.6474175
6.75,-1.4911128
6.76,-1.3215154
6.77,-1.1423473
6.7799997,-0.95800275
6.79,-0.77326435
6.8,-0.5931713
6.8100004,-0.42273694
6.82,-0.26676446
6.830001,-0.12960452
6.84,-0.015017928
6.8500004,0.07400053
6.86,0.13529442
6.8700004,0.16764839
6.88,0.17076582
6.8900003,0.145298
6.9,0.0927421
6.9100003,0.015416468
6.92,-0.08366314
6.9300003,-0.20088212
6.94,-0.33213523
6.9500003,-0.47295874
6.96,-0.61858815
6.9700003,-0.7641149
6.98,-0.9045268
6.9900002,-1.0348247
7.0,-1.1500754
7.01,-1.2455173
7.02,-1.3165987
7.03,-1.3590935
7.04,-1.3691761
7.05,-1.3435124
7.06,-1.2793632
7.07,-1.1746926
7.08,-1.0282894
7.09,-0.83983237
7.1,-0.6100342
7.11,-0.34065187
7.12,-0.03461225
7.1299996,0.30407968
7.14,0.6702333
7.15,1.0576944
7.16,1.4592897
7.17,1.8671575
7.18,2.2727697
7.19,2.667323
7.2,3.0418496
7.21,3.387632
7.22,3.696335
7.23,3.960414
7.24,4.173241
7.25,4.329427
7.2599998,4.424916
7.27,4.4571686
7.28,4.4252133
7.2900004,4.3296657
7.3,4.172715
7.3100004,3.957986
7.32,3.6904662
7.3300004,3.3762598
7.34,3.0224721
7.35,2.6368713
7.36,2.2277899
7.3700004,1.8037386
7.38,1.373352
7.3900003,0.9450051
7.4,0.5268005
7.4100003,0.12625223
7.42,-0.24969637
7.4300003,-0.5949238
7.44,-0.904056
7.4500003,-1.1726514
7.46,-1.397119
7.4700003,-1.5748417
7.48,-1.7040831
7.4900002,-1.7840469
7.5000005,-1.8148391
7.51,-1.7974584
7.52,-1.7337699
7.53,-1.6264886
7.54,-1.4791387
7.55,-1.2959989
7.56,-1.0820918
7.57,-0.84304297
7.58,-0.58509034
7.59,-0.31485945
